transaction_id,timestamp,product_id,product_name,category,sku,amount,currency,payment_method,is_high_risk_item,card_bin,card_last4,issuer_country,is_3ds_passed,attempt_count,payment_gateway,customer_id,email,email_domain,email_first_seen,phone,phone_verified,previous_orders,previous_chargebacks,ip,ip_country,ip_region,proxy,vpn,tor,device_id,device_os,browser,is_emulator,delivery_type,delivery_address,address_verified,billing_address,addresses_match,shipping_region,delivery_person,delivery_signature_required,last_mile_provider,session_length_sec,pages_viewed,time_on_checkout_sec,added_card_count,cart_abandon_rate,velocity_same_card_1h,velocity_same_ip_24h,is_fraud,fraud_type,chargeback_code,chargeback_date
TXN-446703939,2025-07-31T00:51:19.365975Z,PSVR2-01,PlayStation VR2,vr_headsets,PSVR2-1000,77174,RUB,card,1,556048,8465,RU,True,1,Yandex.Kassa,USER-825483,юрий.gamer1994@mail.ru,mail.ru,2021-10-31,+79861549690,True,15,0,148.153.15.198,RU,Краснодар,False,False,False,device_fpr_59457132,macOS,Edge 111,False,courier,"Краснодар, ул. Первомайная, д. 23, кв. 42",True,"Краснодар, ул. Первомайная, д. 23, кв. 42",True,Краснодар,Николай Морозов,True,СДЭК,1632,11,194,2,0.02,1,7,0,,,
TXN-418569014,2025-11-02T05:51:19.317718Z,DUALSE-01,DualSense Wireless Controller,accessories,DUALSE-WH,8319,RUB,card,1,556048,1152,RU,True,1,Yandex.Kassa,USER-985162,николай.gamer2000@mail.ru,mail.ru,2025-04-01,+79684261365,False,14,0,171.188.165.45,RU,Воронеж,False,False,False,device_fpr_85557757,Linux,Edge 118,False,pickup,"Воронеж, ул. Центральная, д. 170, кв. 24",True,"Воронеж, ул. Центральная, д. 170, кв. 24",True,Воронеж,Сергей Орлов,True,Яндекс.Доставка,430,17,278,1,0.15,2,2,0,,,
TXN-854847744,2025-11-16T14:51:19.282922Z,PSVR2-01,PlayStation VR2,vr_headsets,PSVR2-1000,78217,RUB,card,1,538012,6965,RU,True,2,Yandex.Kassa,USER-465169,дмитрий.gamer2003@mail.ru,mail.ru,2025-03-19,+79673624713,True,6,0,234.140.195.242,RU,Волгоград,False,False,False,device_fpr_20049066,iOS,Edge 103,False,courier,"Волгоград, ул. Комсомольская, д. 142, кв. 72",True,"Волгоград, ул. Комсомольская, д. 142, кв. 72",True,Волгоград,Петр Федоров,True,СДЭК,1622,19,135,1,0.21,0,2,0,,,
TXN-191140410,2025-10-04T16:51:19.355451Z,PSPLUS-1,PlayStation Plus (1 мес),subscriptions,PSPLUS-1M,500,RUB,card,0,556048,5899,RU,True,1,Yandex.Kassa,USER-732027,виктор.gamer2008@mail.ru,mail.ru,2023-03-13,+79808050305,True,17,0,103.128.190.131,RU,Новосибирск,False,False,False,device_fpr_54681598,Windows,Firefox 120,False,courier,"Новосибирск, ул. Ленина, д. 126, кв. 124",True,"Новосибирск, ул. Ленина, д. 126, кв. 124",True,Новосибирск,Сергей Федоров,True,DPD,1350,9,140,1,0.24,2,5,0,,,
TXN-379762329,2025-11-21T01:51:19.343427Z,PS5-SLIM-01,PlayStation 5 Slim,game_consoles,PS5SLIM-825SSD,57427,RUB,card,1,538012,8023,RU,True,1,TinkoffPay,USER-151632,андрей.gamer2007@mail.ru,mail.ru,2022-02-22,+79526812085,True,17,0,16.129.238.13,RU,Казань,False,False,False,device_fpr_86581967,Linux,Edge 107,False,courier,"Казань, ул. Пушкина, д. 43, кв. 54",True,"Казань, ул. Пушкина, д. 43, кв. 54",True,Казань,Юрий Федоров,True,DPD,261,10,254,1,0.07,0,0,0,,,
TXN-694214630,2025-08-03T04:51:19.352892Z,HEADSET-01,PlayStation 5 Headset,accessories,PS5-HS,7757,RUB,card,0,546955,5159,RU,True,1,TinkoffPay,USER-271481,алексей.gamer2002@mail.ru,mail.ru,2025-10-09,+79375813976,True,10,0,196.224.110.76,RU,Санкт-Петербург,False,False,False,device_fpr_69490632,Linux,Firefox 110,False,courier,"Санкт-Петербург, ул. Прямая, д. 152, кв. 7",True,"Санкт-Петербург, ул. Прямая, д. 152, кв. 7",True,Санкт-Петербург,Дмитрий Иванов,True,DPD,131,4,160,2,0.16,0,5,0,,,
TXN-453209279,2025-08-23T09:51:19.279406Z,PSPLUS-12,PlayStation Plus (12 мес),subscriptions,PSPLUS-12M,3820,RUB,card,0,538012,2612,RU,False,1,TinkoffPay,USER-556036,алексей.gamer1991@mail.ru,mail.ru,2023-02-12,+79574510940,True,15,0,33.114.74.73,RU,Уфа,False,False,False,device_fpr_72075469,Android,Edge 108,False,pickup,"Уфа, ул. Центральная, д. 48, кв. 67",True,"Уфа, ул. Центральная, д. 48, кв. 67",True,Уфа,Иван Козлов,True,Почта России,280,6,193,2,0.09,1,1,0,,,
TXN-125222396,2025-11-11T13:51:19.238808Z,HEADSET-01,PlayStation 5 Headset,accessories,PS5-HS,8194,RUB,card,0,546955,2079,RU,True,1,Yandex.Kassa,USER-784659,дмитрий.gamer1999@mail.ru,mail.ru,2021-11-06,+79467927416,True,6,0,143.145.81.116,RU,Екатеринбург,False,False,False,device_fpr_20710632,Windows,Firefox 101,False,pickup,"Екатеринбург, ул. Красная, д. 104, кв. 84",True,"Екатеринбург, ул. Красная, д. 104, кв. 84",True,Екатеринбург,Владимир Иванов,True,Почта России,1053,14,183,1,0.1,1,4,0,,,
TXN-492121003,2025-08-10T09:51:19.122027Z,CHARGING-01,Charging Stand for DualSense,accessories,CHARGE-DUAL,2586,RUB,card,0,546955,6056,RU,True,2,Raiffeisenbank,USER-258338,петр.gamer1990@mail.ru,mail.ru,2022-12-28,+79897914550,True,6,0,27.136.206.15,RU,Воронеж,False,False,False,device_fpr_83619289,Linux,Opera 109,False,pickup,"Воронеж, пр. Мира, д. 124, кв. 63",True,"Воронеж, пр. Мира, д. 124, кв. 63",True,Воронеж,Сергей Козлов,True,СДЭК,923,10,270,2,0.17,1,4,0,,,
TXN-464941420,2025-06-07T21:51:19.291257Z,PSPLUS-12,PlayStation Plus (12 мес),subscriptions,PSPLUS-12M,4115,RUB,card,0,546955,5917,RU,True,1,Yandex.Kassa,USER-389416,иван.gamer2002@mail.ru,mail.ru,2023-04-03,+79135126564,False,6,0,168.53.2.183,RU,Пермь,False,False,False,device_fpr_29939319,macOS,Safari 114,False,pickup,"Пермь, ул. Первомайная, д. 161, кв. 96",True,"Пермь, ул. Первомайная, д. 161, кв. 96",True,Пермь,Николай Соколов,True,DPD,898,6,79,2,0.26,0,2,0,,,
TXN-637048279,2025-07-20T20:51:19.379197Z,HEADSET-01,PlayStation 5 Headset,accessories,PS5-HS,7787,RUB,card,0,524130,4713,RU,False,1,TinkoffPay,USER-116838,павел.gamer1993@mail.ru,mail.ru,2025-10-08,+79978930345,True,18,0,247.111.206.96,RU,Воронеж,False,False,False,device_fpr_39755213,macOS,Edge 108,False,courier,"Воронеж, ул. Октябрьская, д. 61, кв. 85",True,"Воронеж, ул. Октябрьская, д. 61, кв. 85",True,Воронеж,Юрий Соловьев,True,Боксберри,754,18,279,1,0.26,1,7,0,,,
